VOTOS,PORCENTAJE,CARGO_POSTULADO,ESTADO,MUNICIPIO,PARROQUIA,CENTRO,CENTRO_NOMBRE,MESA,ADJUDICADO,PRIMER_NOMBRE,PRIMER_APELLIDO,PORCENTAJE_ABSTENCIÓN,PORCENTAJE_ACTAS,PORCENTAJE_ACTAS_ESCRUTADAS,PORCENTAJE_ACTAS_VÁLIDAS,PORCENTAJE_ELECTORES_ACTAS_TX,PORCENTAJE_ELECTORES_INSCRITOS,PORCENTAJE_VOTANTES_ESCRUTADOS,PORCENTAJE_VOTOS_ESCRUTADOS,PORCENTAJE_VOTOS_NULOS,PORCENTAJE_VOTOS_VÁLIDOS,VOTOS_ABSTENCIÓN,VOTOS_ACTAS,VOTOS_ACTAS_ESCRUTADAS,VOTOS_ACTAS_VÁLIDAS,VOTOS_ELECTORES_ACTAS_TX,VOTOS_ELECTORES_INSCRITOS,VOTOS_VOTANTES_ESCRUTADOS,VOTOS_ESCRUTADOS,VOTOS_NULOS,VOTOS_VÁLIDOS
122,43.26%,GOBERNADOR,16,10,1,161001016,CENTRO EDUCACION INICIAL BOLIVARIANO COLINAS DE SANTA CLARA,1,NO,ANTONIA,MUÑOZ,47.97%,100%,100%,100%,100%,100%,52.03%,100%,0%,100%,260,1,1,1,542,542,282,282,0,282
105,37.23%,GOBERNADOR,16,10,1,161001016,CENTRO EDUCACION INICIAL BOLIVARIANO COLINAS DE SANTA CLARA,1,SI,PRIMITIVO,CEDEÑO,47.97%,100%,100%,100%,100%,100%,52.03%,100%,0%,100%,260,1,1,1,542,542,282,282,0,282
41,14.54%,GOBERNADOR,16,10,1,161001016,CENTRO EDUCACION INICIAL BOLIVARIANO COLINAS DE SANTA CLARA,1,NO,MARIA,MARTINEZ,47.97%,100%,100%,100%,100%,100%,52.03%,100%,0%,100%,260,1,1,1,542,542,282,282,0,282
8,2.84%,GOBERNADOR,16,10,1,161001016,CENTRO EDUCACION INICIAL BOLIVARIANO COLINAS DE SANTA CLARA,1,NO,JOSE,RUIZ,47.97%,100%,100%,100%,100%,100%,52.03%,100%,0%,100%,260,1,1,1,542,542,282,282,0,282
6,2.13%,GOBERNADOR,16,10,1,161001016,CENTRO EDUCACION INICIAL BOLIVARIANO COLINAS DE SANTA CLARA,1,NO,GONZALEZ,ORNOBIS,47.97%,100%,100%,100%,100%,100%,52.03%,100%,0%,100%,260,1,1,1,542,542,282,282,0,282
0,0.00%,GOBERNADOR,16,10,1,161001016,CENTRO EDUCACION INICIAL BOLIVARIANO COLINAS DE SANTA CLARA,1,NO,HERMES,CORTEZ,47.97%,100%,100%,100%,100%,100%,52.03%,100%,0%,100%,260,1,1,1,542,542,282,282,0,282
0,0.00%,GOBERNADOR,16,10,1,161001016,CENTRO EDUCACION INICIAL BOLIVARIANO COLINAS DE SANTA CLARA,1,NO,YMARA,GARCIA,47.97%,100%,100%,100%,100%,100%,52.03%,100%,0%,100%,260,1,1,1,542,542,282,282,0,282
0,0.00%,GOBERNADOR,16,10,1,161001016,CENTRO EDUCACION INICIAL BOLIVARIANO COLINAS DE SANTA CLARA,1,NO,SIMON,BRICEÑO,47.97%,100%,100%,100%,100%,100%,52.03%,100%,0%,100%,260,1,1,1,542,542,282,282,0,282
122,43.26%,ALCALDE,16,10,1,161001016,CENTRO EDUCACION INICIAL BOLIVARIANO COLINAS DE SANTA CLARA,1,NO,PEREZ,EXGLIMAR,47.97%,100%,100%,100%,100%,100%,52.03%,100%,0%,100%,260,1,1,1,542,542,282,282,0,282
103,36.52%,ALCALDE,16,10,1,161001016,CENTRO EDUCACION INICIAL BOLIVARIANO COLINAS DE SANTA CLARA,1,SI,HEIZEL,CEBALLOS,47.97%,100%,100%,100%,100%,100%,52.03%,100%,0%,100%,260,1,1,1,542,542,282,282,0,282
